Server1: CPU=32.90, Memory=67.06, Latency=79.48
Server2: CPU=6.46, Memory=85.27, Latency=85.24
Server3: CPU=98.37, Memory=43.72, Latency=0.95
Server1: CPU=68.85, Memory=80.35, Latency=36.29
Server2: CPU=18.65, Memory=58.75, Latency=45.83
Server3: CPU=50.06, Memory=60.27, Latency=83.08
Server1: CPU=46.27, Memory=60.99, Latency=26.37
Server2: CPU=63.12, Memory=81.48, Latency=12.16
Server3: CPU=26.69, Memory=45.24, Latency=43.45
Server1: CPU=83.33, Memory=52.42, Latency=88.63
Server2: CPU=36.21, Memory=69.27, Latency=87.40
Server3: CPU=77.41, Memory=90.40, Latency=36.12
Server1: CPU=51.54, Memory=11.77, Latency=97.64
Server2: CPU=76.97, Memory=22.41, Latency=23.33
Server3: CPU=71.99, Memory=77.51, Latency=16.16
Server1: CPU=95.65, Memory=35.17, Latency=68.78
Server2: CPU=5.97, Memory=3.22, Latency=32.13
Server3: CPU=30.78, Memory=74.35, Latency=19.42
Server1: CPU=91.91, Memory=60.98, Latency=49.22
Server2: CPU=1.02, Memory=16.36, Latency=90.68
Server3: CPU=52.40, Memory=2.05, Latency=97.34
Server1: CPU=64.34, Memory=69.97, Latency=18.49
Server2: CPU=72.62, Memory=8.10, Latency=47.34
Server3: CPU=34.39, Memory=46.35, Latency=66.33
Server1: CPU=22.33, Memory=71.47, Latency=92.50
Server2: CPU=85.26, Memory=49.55, Latency=14.86
Server3: CPU=25.74, Memory=35.25, Latency=72.28
Server1: CPU=10.32, Memory=61.89, Latency=67.92
Server2: CPU=39.36, Memory=83.73, Latency=76.79
Server3: CPU=22.27, Memory=72.16, Latency=30.15
Server1: CPU=7.58, Memory=41.87, Latency=46.21
Server2: CPU=8.26, Memory=43.13, Latency=82.49
Server3: CPU=17.01, Memory=45.08, Latency=29.09
Server1: CPU=34.96, Memory=37.56, Latency=2.68
Server2: CPU=95.56, Memory=61.63, Latency=86.44
Server3: CPU=83.88, Memory=0.09, Latency=46.28
Server1: CPU=49.30, Memory=56.86, Latency=67.73
Server2: CPU=87.38, Memory=74.58, Latency=60.40
Server3: CPU=0.80, Memory=22.28, Latency=54.27
Server1: CPU=10.38, Memory=26.02, Latency=56.12
Server2: CPU=64.56, Memory=66.27, Latency=44.30
Server3: CPU=83.24, Memory=38.11, Latency=31.82
Server1: CPU=49.23, Memory=31.29, Latency=29.17
Server2: CPU=57.95, Memory=84.65, Latency=28.66
Server3: CPU=76.50, Memory=88.02, Latency=18.35
Server1: CPU=94.19, Memory=64.50, Latency=35.57
Server2: CPU=19.68, Memory=75.08, Latency=32.99
Server3: CPU=12.97, Memory=41.84, Latency=13.42
Server1: CPU=87.96, Memory=35.67, Latency=26.35
Server2: CPU=4.86, Memory=21.48, Latency=11.26
Server3: CPU=66.79, Memory=23.90, Latency=57.57
Server1: CPU=85.23, Memory=91.56, Latency=29.41
Server2: CPU=2.61, Memory=55.75, Latency=51.40
Server3: CPU=31.42, Memory=93.93, Latency=89.17
Server1: CPU=26.38, Memory=95.36, Latency=8.09
Server2: CPU=64.21, Memory=99.12, Latency=83.84
Server3: CPU=11.74, Memory=48.63, Latency=76.45
Server1: CPU=87.28, Memory=12.18, Latency=64.79
Server2: CPU=79.82, Memory=74.92, Latency=92.22
Server3: CPU=32.29, Memory=66.56, Latency=5.35
Server1: CPU=94.40, Memory=85.02, Latency=88.49
Server2: CPU=71.78, Memory=53.46, Latency=47.94
Server3: CPU=42.25, Memory=21.62, Latency=62.72
Server1: CPU=24.09, Memory=16.69, Latency=81.98
Server2: CPU=99.91, Memory=86.73, Latency=96.31
Server3: CPU=43.23, Memory=31.18, Latency=93.21
Server1: CPU=37.37, Memory=1.33, Latency=58.00
Server2: CPU=37.10, Memory=93.12, Latency=36.23
Server3: CPU=71.32, Memory=33.85, Latency=28.19
Server1: CPU=8.37, Memory=29.36, Latency=90.93
Server2: CPU=28.67, Memory=88.46, Latency=81.40
Server3: CPU=48.52, Memory=83.94, Latency=96.47
Server1: CPU=18.28, Memory=88.96, Latency=89.19
Server2: CPU=15.02, Memory=42.48, Latency=3.99
Server3: CPU=93.33, Memory=59.81, Latency=15.12
Server1: CPU=77.94, Memory=96.18, Latency=34.81
Server2: CPU=55.83, Memory=91.55, Latency=80.61
Server3: CPU=73.90, Memory=42.25, Latency=76.57
Server1: CPU=50.98, Memory=71.73, Latency=80.36
Server2: CPU=54.28, Memory=37.34, Latency=37.03
Server3: CPU=94.24, Memory=72.62, Latency=16.39
Server1: CPU=58.96, Memory=14.59, Latency=15.88
Server2: CPU=94.83, Memory=63.35, Latency=28.78
Server3: CPU=98.57, Memory=98.64, Latency=49.96
Server1: CPU=92.12, Memory=71.04, Latency=12.43
Server2: CPU=43.80, Memory=90.20, Latency=57.80
Server3: CPU=17.25, Memory=64.53, Latency=84.72
Server1: CPU=21.93, Memory=82.26, Latency=15.80
Server2: CPU=72.02, Memory=98.81, Latency=75.92
Server3: CPU=23.68, Memory=32.29, Latency=70.64
Server1: CPU=20.05, Memory=89.95, Latency=33.34
Server2: CPU=15.70, Memory=72.30, Latency=58.96
Server3: CPU=80.21, Memory=11.00, Latency=25.93
Server1: CPU=74.46, Memory=41.63, Latency=13.45
Server2: CPU=82.43, Memory=33.77, Latency=3.65
Server3: CPU=77.14, Memory=19.31, Latency=38.08
Server1: CPU=55.55, Memory=69.36, Latency=72.90
Server2: CPU=80.26, Memory=29.36, Latency=65.21
Server3: CPU=46.77, Memory=31.07, Latency=32.72
Server1: CPU=35.23, Memory=82.00, Latency=60.46
Server2: CPU=19.37, Memory=54.82, Latency=61.28
Server3: CPU=64.93, Memory=29.33, Latency=11.49
Server1: CPU=83.35, Memory=58.33, Latency=96.40
Server2: CPU=37.14, Memory=36.13, Latency=23.59
Server3: CPU=64.50, Memory=46.34, Latency=17.81
Server1: CPU=15.95, Memory=76.37, Latency=19.10
Server2: CPU=3.21, Memory=54.36, Latency=98.26
Server3: CPU=26.30, Memory=29.72, Latency=37.13
Server1: CPU=22.39, Memory=59.93, Latency=81.78
Server2: CPU=70.26, Memory=45.37, Latency=96.34
Server3: CPU=85.86, Memory=2.58, Latency=55.22
Server1: CPU=90.52, Memory=88.66, Latency=20.36
Server2: CPU=72.26, Memory=72.29, Latency=80.90
Server3: CPU=65.91, Memory=79.76, Latency=90.85
Server1: CPU=45.85, Memory=9.84, Latency=49.29
Server2: CPU=33.49, Memory=57.54, Latency=24.33
Server3: CPU=12.43, Memory=26.09, Latency=26.75
Server1: CPU=76.29, Memory=55.76, Latency=8.57
Server2: CPU=95.13, Memory=83.46, Latency=19.28
Server3: CPU=66.56, Memory=6.74, Latency=53.96
Server1: CPU=59.71, Memory=92.25, Latency=45.14
Server2: CPU=60.28, Memory=99.45, Latency=42.02
Server3: CPU=9.36, Memory=82.65, Latency=19.99
Server1: CPU=55.99, Memory=16.97, Latency=93.26
Server2: CPU=73.76, Memory=5.75, Latency=64.01
Server3: CPU=42.79, Memory=82.70, Latency=40.49
Server1: CPU=42.77, Memory=54.06, Latency=63.42
Server2: CPU=8.67, Memory=16.15, Latency=23.36
Server3: CPU=69.40, Memory=42.90, Latency=74.61
Server1: CPU=79.68, Memory=68.26, Latency=8.99
Server2: CPU=56.13, Memory=54.38, Latency=79.21
Server3: CPU=36.48, Memory=92.64, Latency=69.35
Server1: CPU=79.55, Memory=67.80, Latency=57.52
Server2: CPU=60.52, Memory=52.25, Latency=85.87
Server3: CPU=27.65, Memory=15.28, Latency=87.05
Server1: CPU=5.84, Memory=41.11, Latency=17.45
Server2: CPU=66.47, Memory=45.62, Latency=26.71
Server3: CPU=61.35, Memory=65.05, Latency=22.08
Server1: CPU=5.45, Memory=17.74, Latency=65.33
Server2: CPU=55.00, Memory=15.18, Latency=8.98
Server3: CPU=47.18, Memory=99.23, Latency=90.06
Server1: CPU=77.68, Memory=38.49, Latency=66.97
Server2: CPU=33.81, Memory=14.24, Latency=24.79
Server3: CPU=46.84, Memory=62.24, Latency=41.95
Server1: CPU=2.78, Memory=74.11, Latency=54.32
Server2: CPU=45.36, Memory=28.64, Latency=57.14
Server3: CPU=43.58, Memory=67.54, Latency=55.77
Server1: CPU=19.54, Memory=2.04, Latency=94.78
Server2: CPU=78.60, Memory=74.16, Latency=17.11
Server3: CPU=93.72, Memory=99.14, Latency=5.63
Server1: CPU=39.09, Memory=64.93, Latency=11.27
Server2: CPU=1.49, Memory=81.11, Latency=29.64
Server3: CPU=54.12, Memory=38.34, Latency=86.66
Server1: CPU=71.79, Memory=20.15, Latency=99.08
Server2: CPU=40.71, Memory=16.16, Latency=16.42
Server3: CPU=70.30, Memory=89.77, Latency=35.43
Server1: CPU=68.19, Memory=44.37, Latency=53.11
Server2: CPU=43.62, Memory=22.59, Latency=30.18
Server3: CPU=53.32, Memory=51.70, Latency=57.50
Server1: CPU=58.27, Memory=67.56, Latency=32.21
Server2: CPU=25.46, Memory=51.61, Latency=2.53
Server3: CPU=64.11, Memory=65.94, Latency=21.41
Server1: CPU=26.15, Memory=6.45, Latency=0.59
Server2: CPU=39.23, Memory=46.70, Latency=80.14
Server3: CPU=85.35, Memory=30.79, Latency=16.27
Server1: CPU=78.37, Memory=84.56, Latency=79.39
Server2: CPU=23.03, Memory=14.22, Latency=85.71
Server3: CPU=60.45, Memory=94.21, Latency=68.46
Server1: CPU=96.31, Memory=55.90, Latency=2.11
Server2: CPU=66.35, Memory=51.23, Latency=17.69
Server3: CPU=77.31, Memory=86.10, Latency=78.38
Server1: CPU=35.98, Memory=73.28, Latency=32.46
Server2: CPU=54.01, Memory=57.34, Latency=0.26
Server3: CPU=88.24, Memory=36.74, Latency=17.86
Server1: CPU=8.33, Memory=60.47, Latency=57.12
Server2: CPU=68.62, Memory=83.90, Latency=16.13
Server3: CPU=2.47, Memory=75.55, Latency=76.20
Server1: CPU=58.86, Memory=3.78, Latency=8.73
Server2: CPU=75.88, Memory=32.28, Latency=0.47
Server3: CPU=97.24, Memory=26.73, Latency=48.37
Server1: CPU=32.22, Memory=14.58, Latency=63.03
Server2: CPU=29.97, Memory=82.43, Latency=77.46
Server3: CPU=30.30, Memory=25.35, Latency=77.03
Server1: CPU=85.56, Memory=64.96, Latency=99.76
Server2: CPU=24.77, Memory=3.92, Latency=80.03
Server3: CPU=33.97, Memory=69.85, Latency=90.99
Server1: CPU=27.77, Memory=62.99, Latency=16.64
Server2: CPU=5.16, Memory=88.18, Latency=69.65
Server3: CPU=77.37, Memory=80.71, Latency=62.29
Server1: CPU=6.92, Memory=88.56, Latency=49.89
Server2: CPU=33.40, Memory=60.85, Latency=39.47
Server3: CPU=2.22, Memory=95.75, Latency=81.26
Server1: CPU=57.03, Memory=14.19, Latency=40.43
Server2: CPU=1.57, Memory=95.36, Latency=53.11
Server3: CPU=31.16, Memory=40.94, Latency=85.48
Server1: CPU=21.10, Memory=98.12, Latency=14.26
Server2: CPU=41.51, Memory=32.98, Latency=44.64
Server3: CPU=5.03, Memory=12.06, Latency=73.07
Server1: CPU=9.46, Memory=67.10, Latency=89.41
Server2: CPU=53.00, Memory=94.86, Latency=57.17
Server3: CPU=54.35, Memory=21.53, Latency=92.57
Server1: CPU=1.56, Memory=16.76, Latency=77.19
Server2: CPU=8.49, Memory=71.49, Latency=93.58
Server3: CPU=38.60, Memory=88.78, Latency=87.23
Server1: CPU=26.94, Memory=1.11, Latency=54.50
Server2: CPU=27.65, Memory=24.72, Latency=61.32
Server3: CPU=90.22, Memory=1.38, Latency=33.01
Server1: CPU=22.48, Memory=73.58, Latency=44.03
Server2: CPU=30.61, Memory=3.34, Latency=77.37
Server3: CPU=41.54, Memory=69.42, Latency=60.46
Server1: CPU=70.65, Memory=79.85, Latency=34.49
Server2: CPU=59.01, Memory=77.59, Latency=27.54
Server3: CPU=87.75, Memory=38.29, Latency=28.32
Server1: CPU=59.29, Memory=23.58, Latency=88.36
Server2: CPU=44.77, Memory=30.76, Latency=77.92
Server3: CPU=97.18, Memory=13.07, Latency=38.87
Server1: CPU=51.66, Memory=48.12, Latency=5.01
Server2: CPU=97.48, Memory=35.64, Latency=97.25
Server3: CPU=40.91, Memory=2.02, Latency=91.46
Server1: CPU=74.34, Memory=91.77, Latency=47.45
Server2: CPU=69.69, Memory=27.57, Latency=5.58
Server3: CPU=49.48, Memory=24.62, Latency=81.93
Server1: CPU=32.16, Memory=60.74, Latency=18.35
Server2: CPU=70.29, Memory=82.84, Latency=65.07
Server3: CPU=82.49, Memory=13.52, Latency=26.38
Server1: CPU=1.47, Memory=85.16, Latency=71.05
Server2: CPU=40.68, Memory=16.38, Latency=32.88
Server3: CPU=57.40, Memory=10.66, Latency=68.03
Server1: CPU=22.22, Memory=21.23, Latency=87.58
Server2: CPU=9.97, Memory=44.49, Latency=13.72
Server3: CPU=1.87, Memory=61.86, Latency=38.31
Server1: CPU=30.81, Memory=52.67, Latency=35.64
Server2: CPU=79.37, Memory=99.84, Latency=80.54
Server3: CPU=22.18, Memory=94.63, Latency=95.37
Server1: CPU=66.94, Memory=59.71, Latency=88.93
Server2: CPU=11.15, Memory=93.79, Latency=98.96
Server3: CPU=76.10, Memory=85.78, Latency=39.61
Server1: CPU=51.92, Memory=13.73, Latency=77.98
Server2: CPU=84.91, Memory=61.30, Latency=51.05
Server3: CPU=14.03, Memory=48.78, Latency=55.90
Server1: CPU=12.63, Memory=84.98, Latency=81.17
Server2: CPU=63.55, Memory=57.34, Latency=53.78
Server3: CPU=90.64, Memory=37.72, Latency=71.45
Server1: CPU=30.99, Memory=13.19, Latency=27.50
Server2: CPU=26.46, Memory=97.48, Latency=15.07
Server3: CPU=69.18, Memory=31.15, Latency=8.53
Server1: CPU=1.56, Memory=71.73, Latency=75.38
Server2: CPU=34.01, Memory=12.90, Latency=39.08
Server3: CPU=40.40, Memory=35.01, Latency=4.36
Server1: CPU=16.44, Memory=90.87, Latency=13.83
Server2: CPU=37.33, Memory=91.78, Latency=22.26
Server3: CPU=1.68, Memory=36.01, Latency=91.94
Server1: CPU=80.50, Memory=99.89, Latency=34.16
Server2: CPU=25.36, Memory=23.11, Latency=32.98
Server3: CPU=26.75, Memory=17.81, Latency=95.28
Server1: CPU=42.36, Memory=84.16, Latency=59.41
Server2: CPU=1.07, Memory=47.65, Latency=82.82
Server3: CPU=30.97, Memory=60.70, Latency=29.85
Server1: CPU=55.59, Memory=6.42, Latency=57.67
Server2: CPU=44.65, Memory=67.46, Latency=34.04
Server3: CPU=96.56, Memory=57.81, Latency=77.82
Server1: CPU=6.46, Memory=88.01, Latency=44.10
Server2: CPU=83.73, Memory=93.32, Latency=6.89
Server3: CPU=32.66, Memory=29.24, Latency=25.07
Server1: CPU=15.04, Memory=60.29, Latency=42.25
Server2: CPU=61.30, Memory=4.15, Latency=4.85
Server3: CPU=76.32, Memory=97.45, Latency=78.94
Server1: CPU=48.09, Memory=28.14, Latency=73.88
Server2: CPU=35.83, Memory=1.67, Latency=83.97
Server3: CPU=1.88, Memory=1.57, Latency=26.48
Server1: CPU=13.78, Memory=62.63, Latency=0.59
Server2: CPU=51.73, Memory=2.79, Latency=30.40
Server3: CPU=87.46, Memory=97.11, Latency=42.29
Server1: CPU=94.92, Memory=2.40, Latency=76.53
Server2: CPU=36.78, Memory=9.43, Latency=82.01
Server3: CPU=15.10, Memory=22.90, Latency=70.73
Server1: CPU=65.18, Memory=60.03, Latency=33.18
Server2: CPU=84.93, Memory=90.50, Latency=86.81
Server3: CPU=6.42, Memory=22.46, Latency=56.99
Server1: CPU=43.57, Memory=0.03, Latency=68.02
Server2: CPU=80.56, Memory=79.63, Latency=14.48
Server3: CPU=12.37, Memory=26.17, Latency=11.26
Server1: CPU=70.86, Memory=47.88, Latency=1.99
Server2: CPU=20.97, Memory=92.61, Latency=73.83
Server3: CPU=63.25, Memory=82.26, Latency=30.53
Server1: CPU=93.89, Memory=73.54, Latency=57.15
Server2: CPU=21.44, Memory=53.24, Latency=25.92
Server3: CPU=15.64, Memory=77.03, Latency=79.91
Server1: CPU=9.17, Memory=82.27, Latency=83.95
Server2: CPU=14.10, Memory=15.58, Latency=23.30
Server3: CPU=58.98, Memory=32.25, Latency=25.74
Server1: CPU=50.13, Memory=43.46, Latency=98.43
Server2: CPU=73.23, Memory=29.34, Latency=40.40
Server3: CPU=4.65, Memory=87.37, Latency=57.81
Server1: CPU=94.45, Memory=93.64, Latency=35.75
Server2: CPU=82.70, Memory=89.98, Latency=93.34
Server3: CPU=40.09, Memory=20.20, Latency=95.90
Server1: CPU=30.14, Memory=18.48, Latency=54.57
Server2: CPU=17.12, Memory=29.93, Latency=15.20
Server3: CPU=79.48, Memory=21.86, Latency=60.29
Server1: CPU=15.27, Memory=77.28, Latency=2.04
Server2: CPU=15.11, Memory=4.95, Latency=18.84
Server3: CPU=89.14, Memory=93.80, Latency=31.90
Server1: CPU=6.30, Memory=92.25, Latency=80.99
Server2: CPU=38.94, Memory=74.39, Latency=46.80
Server3: CPU=90.24, Memory=93.90, Latency=11.92
Server1: CPU=62.47, Memory=95.01, Latency=14.89
Server2: CPU=64.59, Memory=37.22, Latency=33.88
Server3: CPU=94.82, Memory=32.45, Latency=60.53
Server1: CPU=43.34, Memory=62.19, Latency=81.25
Server2: CPU=63.55, Memory=41.25, Latency=75.99
Server3: CPU=45.26, Memory=86.34, Latency=56.54
Server1: CPU=41.82, Memory=11.19, Latency=23.25
